epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
118,134.855,2.0224,1.38238,0.00399,0.76257,0.7651,0.79315,0.30875,2.1897,0.94412,0.00393,0.000175178,0.000175178,0.000175178
119,135.957,2.02664,1.29907,0.00377,0.75727,0.77409,0.80555,0.3093,2.16843,0.96181,0.00394,0.000170103,0.000170103,0.000170103
120,137.064,1.98569,1.36018,0.00403,0.75093,0.76102,0.79242,0.30658,2.16926,0.962,0.00393,0.000165027,0.000165027,0.000165027
121,138.143,2.04127,1.33013,0.00378,0.75245,0.74833,0.7797,0.30283,2.17946,0.95927,0.00388,0.000159952,0.000159952,0.000159952
122,139.207,2.10951,1.30103,0.00345,0.76969,0.74534,0.7955,0.30578,2.1854,0.95333,0.00385,0.000154877,0.000154877,0.000154877
123,140.301,2.01504,1.32646,0.00375,0.79331,0.75881,0.80408,0.30796,2.17235,0.93374,0.00376,0.000149801,0.000149801,0.000149801
124,141.375,2.00058,1.31742,0.00368,0.78476,0.75295,0.79453,0.30696,2.16931,0.92832,0.00372,0.000144726,0.000144726,0.000144726
125,142.475,2.01847,1.27766,0.00369,0.79506,0.76091,0.81663,0.31463,2.1735,0.92716,0.00372,0.00013965,0.00013965,0.00013965
126,143.653,2.01805,1.34646,0.00387,0.7725,0.75268,0.80107,0.31241,2.17349,0.9134,0.00372,0.000134575,0.000134575,0.000134575
127,144.768,1.9727,1.33773,0.00378,0.78409,0.75039,0.79899,0.31379,2.18713,0.92367,0.00389,0.0001295,0.0001295,0.0001295
128,145.871,2.01418,1.31488,0.00374,0.79271,0.75185,0.80115,0.3185,2.20026,0.91339,0.00402,0.000124424,0.000124424,0.000124424
129,146.945,2.06755,1.31981,0.00365,0.8012,0.76144,0.81023,0.31997,2.22188,0.89874,0.0041,0.000119349,0.000119349,0.000119349
130,148.046,2.03421,1.32685,0.00374,0.79533,0.7701,0.81153,0.32284,2.19487,0.91604,0.00407,0.000114273,0.000114273,0.000114273
131,149.151,1.96856,1.31146,0.00354,0.80626,0.77678,0.82666,0.32532,2.16788,0.91827,0.00396,0.000109198,0.000109198,0.000109198
132,150.38,1.99397,1.2893,0.00361,0.80062,0.77915,0.83142,0.32521,2.16084,0.92006,0.00385,0.000104123,0.000104123,0.000104123
133,151.494,2.04241,1.25937,0.00352,0.80252,0.77509,0.82951,0.32809,2.15866,0.91113,0.00379,9.90472e-05,9.90472e-05,9.90472e-05
